seconds	hex
55.629262	a5 01 01 21 1d 00 00 54 ea 19 0c 0c 00 22 00 00 25 01 00 27 00 00 2d
55.635279	00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
55.828098	a5 01 01 21 1e 00 00 3c
55.828399	c8 9b 0c 0c 00 a4 00 00 bd 00 00
55.834230	00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
58.021676	a5 01 01 21 1f 00 00 42 34 be 0c
58.021866	0c 00 01 01 00 02 00 00 08 fc
58.027428	00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4a 01 48 01
58.225724	a5 01 01 21 20 00 00 54 69 1c 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13
58.225921	00 00 72 00 00 00 00 00 73 01 00
58.231963	74 06 00 95 00 00 00 00 00 15 00
58.420777	a5 01 01 21 21 00 00 3c 77 9a 0c 0c
58.420884	00 a4 00 00 bd 00 00 00 00 00 be
58.426848	00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
64.206743	a5 01 01 21 22 00 00 42 c6 ff 0c 0c 00 01 01 00 02 00 00 08 fc 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00
64.206869	12 01 00 df 00 00 c9 00 00 17 00
64.212681	00 1e 01 02 27 00 00 00 4a 01 48 01
64.403423	a5 01 01 21 23 00 00 5a d6 57 0c 0c 00 22 00 00
64.409964	25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 0a 28 00 64 00 00 00 00 00 65 00 00 00 00 00 13 00 00
64.410177	72 00 00 00 00 00 73 01
64.604142	a5 01 01 21 24 00 00 48 b3 af 0c 0c 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00 00 bd 00 00 00 00
64.609739	00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
66.798063	a5 01 01 21 25 00 00 42 d6 71 0c 0c 00 01 01 00 02 00 00 08 fc 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00
66.803728	0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4a 01 48 01
66.996190	a5 01 01 21 26 00 00 5a 80 54 0c 0c 00 22 00 00 25 01 00 27 00 00
67.001950	2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 0a 28 00 64 00 00 00 00 00 65 00 00 00 00 00 13 00 00 72 00 00 00 00 00
67.007657	73 01
67.195527	a5 01 01 21 27 00 00 48 66 0e 0c 0c 00 74 06 00 95
67.201091	00 00 00 00 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
67.994677	a5 01 01 21 28 00 00 12 1c a8 0c 0c 00 0d 01 00 0e 01
74.178931	a5 01 01 21 29 00 00 42 0f ee 0c 0c 00 01 01 00 02 00 00 08 fc 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 01 00 0e 01 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4a 01
74.186375	48 01
74.377957	a5 01 01 21 2a 00 00 5a 21 79 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e
74.383527	00 00 60 00 00 09 c4 00 64 00 00 00 00 00 65 00 00 00 00 00 13 00 00 72 00 00 00 00 00 73 01
74.576284	a5 01 01 21 2b 00 00 48 00 e9 0c 0c 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00
74.582122	00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
76.771583	a5 01 01 21 2c 00 00 42 79 df 0c 0c 00 01 01 00 02 00 00 08 fc 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 01 00 0e 01 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02
76.777134	27 00 00 00 4a 01 48 01
76.971056	a5 01 01 21 2d 00 00 5a cd b2 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27
76.971338	28 2a 31 00 5e 00 00 60 00 00 0a
76.977233	28 00 64 00 00 00 00 00 65 00 00 00 00 00 13 00 00 72 00 00 00 00 00 73 01
77.165553	a5 01 01 21 2e
77.172706	00 00 48 6e 2b 0c 0c 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
84.145455	a5 01 01 21 2f 00 00 42 3a
